,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,WASWashington Wizards,60,26.94,6.13,9.68,2.69,1.77,0.74,2.06,54.29
,UTHUtah Jazz,61,22.07,6.02,11.88,3.01,2.21,0.63,2.85,52.78
,PHIPhiladelphia 76ers,60,26.92,6.87,10.31,3.04,1.16,0.71,4.15,52.09
,HOUHouston Rockets,60,28.6,6.29,6.8,3.23,1.44,1.22,2.67,51.66
,SASSan Antonio Spurs,61,24.26,7.04,8.36,2.13,2.4,0.76,3.11,51.62
,ORLOrlando Magic,61,26.84,4.66,8.58,3.57,2.93,0.05,2.88,51.36
,TORToronto Raptors,61,20.74,6.66,11.87,3.17,2.2,0.26,3.17,50.75
,LACLos Angeles Clippers,59,28.21,5.64,9.07,4.07,1.27,0.4,3.54,50.05
,DETDetroit Pistons,60,26.52,6.45,6.78,2.78,2.61,0.55,4.28,49.63
,CHACharlotte Hornets,61,25.85,6.18,10.73,3.38,0.87,0.4,3.91,49.26
,DENDenver Nuggets,61,26.09,6.1,8.95,2.63,1.34,0.33,2.63,49.22
,LALLos Angeles Lakers,62,22.63,5.4,10.3,3.2,2.19,0.16,2.53,49.08
,BKNBrooklyn Nets,60,23.49,6.81,8.47,3.11,1.91,0.33,2.25,48.84
,PORPortland Trail Blazers,59,20.43,5.25,9.18,2.52,2.32,1.19,2.52,48.51
,ATLAtlanta Hawks,60,24.89,7.35,7.73,3.62,1.19,0.7,2.65,48.33
,PHOPhoenix Suns,61,25.46,5.52,8.4,3.99,1.76,0.52,3.7,47.82
,DALDallas Mavericks,61,22.09,6.69,9.15,2.02,1.76,0.31,2.58,47.47
,SACSacramento Kings,59,21.69,5.46,9.62,2.19,2.13,0.35,3.44,46.67
,CLECleveland Cavaliers,60,23.05,5.4,7.55,3.41,2.29,0.38,2.43,46.44
,GSWGolden State Warriors,60,22.79,6.05,8.36,3.02,1.56,0.66,2.88,46.37
,MEMMemphis Grizzlies,61,23.84,8.1,6.49,3.22,1.65,0.56,3.88,46.05
,MINMinnesota Timberwolves,61,20.26,6.27,7.97,1.96,2.28,0.84,3.33,45.77
,INDIndiana Pacers,62,23.45,6.44,5.89,2.97,1.54,0.77,2.42,44.52
,CHIChicago Bulls,60,22.6,4.63,9.14,3.73,1.28,0.51,2.96,44.28
,OKCOklahoma City Thunder,60,22.14,5.64,7.56,3.37,1.23,0.55,2.54,43.05
,BOSBoston Celtics,60,19.62,6.18,8.9,2.32,1.24,0.45,2.77,42.69
,MILMilwaukee Bucks,61,22.76,5.15,7.94,2.79,1.5,0.14,3.22,42.55
,NORNew Orleans Pelicans,61,17.94,5.09,10.32,3.21,1.25,0.5,2.77,42.01
,MIAMiami Heat,60,21.84,5.69,7.11,2.31,1.01,0.62,2.93,41.29
,NYKNew York Knicks,61,20.08,5.97,6.38,2.22,1.4,0.7,2.1,41.01
,
,SGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,ATLAtlanta Hawks,60,27.31,6.91,5.92,3.66,1.69,0.7,2.49,49.16
,SASSan Antonio Spurs,61,25.28,6.09,6.64,3.47,2.15,0.88,2.58,49.06
,PHOPhoenix Suns,61,23.82,7.57,5.89,3.61,1.89,1.05,3.24,47.32
,WASWashington Wizards,60,23.6,8.23,5.28,2.73,1.54,1.14,2.64,46.8
,LACLos Angeles Clippers,59,24.94,7.34,5.78,3.25,1.56,0.47,1.78,46.73
,UTHUtah Jazz,61,24.1,6.64,5.85,3.93,1.77,0.73,1.96,46.38
,BKNBrooklyn Nets,60,26.41,7.33,4.45,4.15,1.1,0.63,2.24,44.83
,MEMMemphis Grizzlies,61,20.62,6.65,5.99,2.89,2.13,0.96,2.08,44.78
,INDIndiana Pacers,62,25.55,6.43,4.8,3.21,1.15,0.86,2.25,44.25
,CHIChicago Bulls,60,22.97,5.99,7.02,3.67,1.19,0.57,2.14,43.83
,DETDetroit Pistons,60,20.65,5.06,4.56,2.68,2.58,1.48,2.08,43.66
,TORToronto Raptors,61,24.22,6.14,4.77,3.46,1.8,0.34,2.14,43.02
,LALLos Angeles Lakers,62,24.48,5.78,5.82,3.22,0.88,0.88,2.51,42.92
,OKCOklahoma City Thunder,60,24.27,6.1,5.2,3.77,1.32,0.9,3.29,42.76
,PHIPhiladelphia 76ers,60,23.92,4.94,5.5,4.1,1.3,0.97,2.23,42.68
,MILMilwaukee Bucks,61,23.1,7.52,4.89,3.52,1.26,0.26,2.26,41.76
,NYKNew York Knicks,61,22.97,5.87,5.24,4.31,1.17,0.93,2.54,41.63
,DALDallas Mavericks,61,22.24,5.85,5.5,3.74,1.58,0.39,2.15,41.27
,MIAMiami Heat,60,20.94,5.84,5.92,3.18,1.49,0.56,2.33,40.65
,NORNew Orleans Pelicans,61,22.2,5.02,4.7,3.91,2,0.47,2.85,39.83
,GSWGolden State Warriors,60,22.89,5.23,5.06,3.18,1.14,0.53,2.24,39.53
,SACSacramento Kings,59,20.54,6.11,4.97,3.54,1.46,0.61,2.11,39.43
,CHACharlotte Hornets,61,17.18,7,5.15,2.49,2.11,0.71,3.08,38.69
,HOUHouston Rockets,60,18.4,6.98,4.11,3.12,2.18,0.46,2.39,38.47
,PORPortland Trail Blazers,59,19.61,6.02,3.83,2.52,1.64,0.87,2.02,38.09
,BOSBoston Celtics,60,22.32,5.83,4.81,3.14,1.01,0.2,2.08,38.08
,ORLOrlando Magic,61,21.54,4.78,4.96,2.92,1.25,0.46,2.18,37.67
