,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,CHIChicago Bulls,70,25.41,7.86,12.07,4.63,2.38,0.7,2.94,59.25
,MILMilwaukee Bucks,70,29.53,6.64,10.18,4.57,1.18,0.73,3.54,54.96
,PHOPhoenix Suns,70,26.33,4.6,10.64,3.74,2.15,0.57,3.16,52.81
,UTHUtah Jazz,70,29.56,5.31,7.26,5.05,2.07,0.64,2.33,52.62
,CHACharlotte Hornets,69,25.05,7.17,9,2.81,1.68,1.12,3.09,52.46
,GSWGolden State Warriors,69,23.49,5.87,11.59,2.31,1.85,0.46,2.62,52.23
,LALLos Angeles Lakers,70,28.25,5.95,8.23,2.91,1.64,0.12,1.77,51.25
,LACLos Angeles Clippers,69,25.96,6.36,8.17,4.41,2.33,0.38,2.85,51.13
,SASSan Antonio Spurs,70,23.47,7.34,8.21,2.3,2.59,0.43,3.02,50.63
,DETDetroit Pistons,70,23.52,5.48,9.23,2.59,2.02,0.72,2.16,50
,MEMMemphis Grizzlies,71,25.04,5.25,10.5,4.02,1.4,0.52,2.97,49.88
,PORPortland Trail Blazers,70,28.88,3.79,8.4,3.52,1.62,0.54,3.25,49.26
,TORToronto Raptors,70,24.63,6.09,7.25,2.72,2.2,0.77,3.5,48.22
,WASWashington Wizards,70,22.08,5.08,8.57,2.9,2.76,0.72,3.63,47.84
,CLECleveland Cavaliers,70,22.66,5.36,9.25,3.08,1.34,0.8,2.14,47.25
,OKCOklahoma City Thunder,69,23.26,4.91,9.64,3.21,1.89,0.37,3.21,47.18
,MIAMiami Heat,70,23.13,5.94,11.1,3.56,0.79,0.26,3.04,47.02
,DALDallas Mavericks,70,24.5,7.14,7.65,2.72,0.85,0.51,3.06,45.56
,INDIndiana Pacers,71,22.89,7.91,6.49,2.4,1.55,0.42,2.82,45.21
,ATLAtlanta Hawks,69,25.88,5.57,7.9,4.33,1.08,0.3,3.4,45.15
,HOUHouston Rockets,69,26.47,6.11,5.48,4.07,1.72,0.31,3.13,44.98
,NORNew Orleans Pelicans,70,23.18,4.46,7.96,3.49,1.67,0.97,3.63,44.76
,BKNBrooklyn Nets,70,22.02,6.69,8.08,3.2,1.67,0.55,4.18,44.65
,BOSBoston Celtics,70,26.74,4.48,7.42,3.64,0.7,0.56,2.94,44.09
,DENDenver Nuggets,70,20.31,7.18,7.87,2.07,1.38,0.27,2.48,43.2
,ORLOrlando Magic,70,21.76,5.47,7.38,2.29,1.9,0.25,3.94,41.9
,SACSacramento Kings,69,17.38,6.09,6.09,1.48,2.67,0.74,3.41,40.64
,PHIPhiladelphia 76ers,70,19.09,6.04,6.72,3.43,1.51,0.82,2.88,40.53
,NYKNew York Knicks,69,20.94,5.77,7.11,2.41,0.94,0.67,3.22,40.14
,MINMinnesota Timberwolves,70,21.63,4.75,9.36,1.99,0.92,0,4.91,39.22
,
,SGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,WASWashington Wizards,70,27.64,9.09,6.18,4.48,1.81,0.84,2.66,53.11
,UTHUtah Jazz,70,20.91,7.72,7.21,3.5,1.64,1.85,1.75,49.71
,CLECleveland Cavaliers,70,22.78,7.94,5.47,2.64,1.94,1.05,1.76,47.72
,DETDetroit Pistons,70,22.26,7.15,7.63,3.9,1.3,0.65,2.11,46.03
,MILMilwaukee Bucks,70,26.19,7.38,4.73,3.11,0.92,0.92,1.84,45.82
,MEMMemphis Grizzlies,71,23.78,6.85,4.93,3.12,1.71,0.9,2.21,45.02
,SASSan Antonio Spurs,70,21.05,6.75,6.04,2.72,2.11,0.8,2.31,44.63
,DENDenver Nuggets,70,25.09,6.04,4.88,2.7,1.93,0.25,2.18,44.02
,ATLAtlanta Hawks,69,19.75,6.23,5.7,3.18,1.98,1.32,2.12,43.56
,DALDallas Mavericks,70,21.23,7.01,5.35,2.04,2.14,0.97,3.7,43.3
,OKCOklahoma City Thunder,69,23.71,7.09,5.98,3.1,1.55,0.22,3.54,42.96
,CHACharlotte Hornets,69,21.27,6.62,6.05,3.24,1.55,0.84,2.81,42.65
,ORLOrlando Magic,70,24.06,6.26,4.28,3.13,1.81,0.16,1.97,41.93
,HOUHouston Rockets,69,20.27,5.97,6.42,2.71,1.53,0.63,1.8,41.74
,TORToronto Raptors,70,18.71,6.38,5.26,3.02,2.35,0.78,2.24,41.41
,LALLos Angeles Lakers,70,21.82,5.64,5.02,3.92,1.71,0.61,1.96,41.12
,PORPortland Trail Blazers,70,16.96,6.56,5.57,2.72,2.22,1.11,2.1,41.08
,SACSacramento Kings,69,23.59,6.3,3.91,3.78,1.26,0,1.89,38.91
,PHOPhoenix Suns,70,18.04,5.64,6.87,3.19,1.1,0.36,0.98,38.51
,BOSBoston Celtics,70,20.11,6.49,5,1.91,0.95,0.95,2.87,38.23
,LACLos Angeles Clippers,69,21.37,5.4,4.52,3.52,1.13,0.75,2.13,38.14
,INDIndiana Pacers,71,21.58,7.56,4.51,2.43,1.09,0.48,4.02,38.11
,MIAMiami Heat,70,19.53,4.85,5.38,3.37,1.37,0.84,2.42,37.63
,NORNew Orleans Pelicans,70,22.28,4.34,6.65,4.48,0.72,0.14,2.6,37.44
,BKNBrooklyn Nets,70,20.05,4.44,5.24,2.42,1.21,0.8,2.01,37.26
,GSWGolden State Warriors,69,19.98,5.79,5.92,3.08,0.61,0.61,2.46,37.01
,PHIPhiladelphia 76ers,70,16.49,6.98,6.15,2.51,1.11,0.69,2.65,36.84
,MINMinnesota Timberwolves,70,17.84,5.53,4.55,2.85,1.42,0.62,2.4,35.02
,CHIChicago Bulls,70,19.69,5.22,3.59,2.39,1.41,0.32,2.28,34.25
,NYKNew York Knicks,69,13.89,4.86,4.98,2.61,2.01,0.95,2.13,33.94
,
,SFs
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,PHOPhoenix Suns,70,27.6,6.94,4.93,3.29,2.74,0.73,1.82,51.91
,CHIChicago Bulls,70,23.18,7.41,4.57,3.62,2.05,1.57,1.1,48.69
,MILMilwaukee Bucks,70,24.21,7.06,5.11,4.96,1.8,1.05,1.2,47.7
,PORPortland Trail Blazers,70,22.29,8.91,3.8,1.44,1.83,1.04,1.44,45.85
,ORLOrlando Magic,70,24.73,7.59,2.23,3.12,1.34,1.63,3.12,42.97
,DETDetroit Pistons,70,22.93,7.14,3.52,2.13,2.34,0.42,2.24,42.82
,LACLos Angeles Clippers,69,21.39,7.52,4.48,3.03,1.58,0.66,1.84,42.01
,GSWGolden State Warriors,69,22.23,8.89,4.44,3.09,0.53,0.8,1.61,41.94
,WASWashington Wizards,70,18.19,9.36,4.41,1.33,1.2,1.47,2.14,41.91
,MINMinnesota Timberwolves,70,22.82,7.97,4.43,3.1,1.1,0.88,3.32,41.65
,MIAMiami Heat,70,23.4,8.84,1.96,4.09,0.65,1.47,1.8,41.51
,ATLAtlanta Hawks,69,22.25,7.27,5.27,3.28,0.85,0.85,3.13,40.85
,UTHUtah Jazz,70,23.68,7,3.5,2.83,1,0.83,2,40.82
,CHACharlotte Hornets,69,21.86,7.53,4.19,2.89,1.44,0.43,2.17,40.62
,DALDallas Mavericks,70,20.18,6.72,3.7,2.88,1.64,1.09,1.51,40.47
,OKCOklahoma City Thunder,69,22.36,6.58,3.82,1.99,1.53,0.61,2.45,39.96
,BKNBrooklyn Nets,70,18.89,7.08,4.28,2.5,1.91,0.59,2.06,39.25
,MEMMemphis Grizzlies,71,16.21,7.78,4.45,2.86,2.06,0.63,1.43,38.86
,CLECleveland Cavaliers,70,19.01,6.44,4.19,2.14,2.25,0.53,2.57,38.79
,TORToronto Raptors,70,21.81,7.67,4.66,2.25,0.9,0.3,3.15,38.45
,PHIPhiladelphia 76ers,70,21.03,7.6,2.42,4.04,1.45,0.97,3.55,37.49
,SASSan Antonio Spurs,70,21.47,7.57,2.46,2.11,1.4,0.52,2.81,37.19
,INDIndiana Pacers,71,19.31,6.71,4.03,2.68,1,0.33,1.51,35.89
,NYKNew York Knicks,69,15.79,9.41,1.88,1.59,1.88,0.72,1.88,35.82
