,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,UTHUtah Jazz,60,22.88,6.37,12.21,3.53,2.14,0.64,2.78,54.4
,WASWashington Wizards,58,26.23,6.36,9.78,2.26,1.89,0.67,2.32,53.89
,ORLOrlando Magic,60,28.44,4.67,8.22,3.48,3.01,0.29,2.95,53.32
,PHIPhiladelphia 76ers,58,27.42,6.74,10.37,3.5,1.23,0.77,3.89,53.17
,TORToronto Raptors,59,21.21,6.72,12.39,2.73,2.2,0.42,3.04,52.68
,HOUHouston Rockets,58,26.59,6.31,7.36,2.91,1.59,1.2,2.69,50.88
,LACLos Angeles Clippers,57,28.82,5.57,8.72,3.92,1.38,0.44,3.42,50.62
,DENDenver Nuggets,59,26.77,5.79,9.34,2.89,1.47,0.32,2.62,50.48
,SASSan Antonio Spurs,59,23.84,6.78,8.55,2.7,2.31,0.66,3.36,50.35
,PORPortland Trail Blazers,57,22.13,5.33,9.11,2.54,2.41,0.99,2.35,50.04
,DETDetroit Pistons,58,25.22,5.89,7.76,2.38,2.77,0.56,3.91,50.01
,CHACharlotte Hornets,59,26.08,6.17,10.49,3.35,1.07,0.41,3.95,49.71
,ATLAtlanta Hawks,59,27.78,7.14,7.19,3.91,1.16,0.52,2.69,49.48
,LALLos Angeles Lakers,60,24.34,5.53,9.48,3.72,2.02,0.16,2.63,49.11
,DALDallas Mavericks,59,23.23,6.59,9.36,1.91,1.78,0.36,2.58,49.02
,SACSacramento Kings,58,22.43,5.94,10,2.18,2.18,0.36,3.45,48.73
,GSWGolden State Warriors,58,24.14,5.73,8.36,3.34,1.81,0.66,2.82,48.15
,PHOPhoenix Suns,58,25.15,5.12,8.42,3.81,2.04,0.45,3.58,47.81
,CLECleveland Cavaliers,58,23.23,5.78,7.87,3.27,2.32,0.47,2.7,47.64
,INDIndiana Pacers,60,26.04,6.74,6.09,3.15,1.41,0.81,2.82,47.1
,BKNBrooklyn Nets,59,21.57,6.38,7.91,2.93,1.91,0.31,2.42,45.33
,NORNew Orleans Pelicans,60,19.6,5.11,10.73,3.55,1.43,0.49,2.55,45.04
,MILMilwaukee Bucks,60,23.65,5.55,8.29,3.1,1.58,0.21,3.46,44.66
,MINMinnesota Timberwolves,59,20.96,6.27,7.74,2.33,2,0.66,3.47,44.6
,BOSBoston Celtics,58,19.89,6.39,8.95,2.44,1.37,0.47,2.56,43.94
,MEMMemphis Grizzlies,59,22.53,7.94,6.14,2.99,1.64,0.29,3.39,43.67
,CHIChicago Bulls,59,21.98,4.6,9.01,3.56,1.36,0.45,2.98,43.47
,MIAMiami Heat,58,22.21,6.1,7.62,2.54,1.01,0.73,3.1,43.08
,OKCOklahoma City Thunder,58,20.59,5.72,7.13,3.23,1.41,0.6,2.89,41.29
,NYKNew York Knicks,60,19.91,5.82,6.55,1.94,1.03,0.66,2.3,39.49
,
,SGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,SASSan Antonio Spurs,59,26.24,5.97,7.19,3.74,2,0.82,2.61,50.04
,ATLAtlanta Hawks,59,26.7,6.61,5.98,3.6,1.48,0.63,2.65,47.28
,UTHUtah Jazz,60,24.6,6.47,5.75,4.02,1.77,0.81,1.87,46.86
,WASWashington Wizards,58,23.22,8.49,5.63,2.81,1.42,1.21,3.07,46.67
,BKNBrooklyn Nets,59,27.89,7.24,4.53,4.39,1.19,0.57,2.22,46.43
,LACLos Angeles Clippers,57,24.18,7.51,5.7,3.26,1.4,0.58,1.63,46.05
,MEMMemphis Grizzlies,59,21.46,6.6,6.12,3.14,1.91,1.11,1.97,45.65
,PHOPhoenix Suns,58,21.95,7.63,6.18,3.34,1.6,0.9,3.13,44.75
,CHIChicago Bulls,59,23.66,5.96,7.09,3.71,1.16,0.54,2.12,44.43
,LALLos Angeles Lakers,60,24.99,5.87,5.99,3.43,1.04,0.75,2.55,43.84
,DETDetroit Pistons,58,20.95,5.36,4.38,2.68,2.43,1.46,2.04,43.58
,OKCOklahoma City Thunder,58,24.62,6.44,5.14,3.73,1.35,0.86,3.19,43.5
,INDIndiana Pacers,60,25.1,6.39,4.65,3.19,1.08,0.94,2.35,43.45
,TORToronto Raptors,59,24.64,5.95,4.57,3.43,1.62,0.42,2.33,42.43
,DALDallas Mavericks,59,23.45,5.83,5.45,3.88,1.52,0.33,2.19,41.98
,MILMilwaukee Bucks,60,23.01,7.41,4.89,3.44,1.33,0.25,2.11,41.87
,PHIPhiladelphia 76ers,58,23.06,4.74,5.46,3.79,1.26,0.99,2.12,41.57
,MIAMiami Heat,58,20.95,6.13,6.18,3,1.48,0.55,2.37,41.3
,NORNew Orleans Pelicans,60,21.68,5.36,4.79,3.9,2.08,0.46,2.86,40.06
,NYKNew York Knicks,60,21.37,5.35,5.35,3.53,1.12,1.03,2.45,39.82
,BOSBoston Celtics,58,22.66,5.69,5.28,3.35,1.21,0.15,1.93,39.56
,SACSacramento Kings,58,20.61,6.26,5.06,3.54,1.43,0.55,2.11,39.54
,HOUHouston Rockets,58,20.12,6.62,4.07,3.2,2.13,0.45,2.59,39.32
,CHACharlotte Hornets,59,17.96,6.59,5.46,2.49,1.92,0.72,3.05,38.93
,PORPortland Trail Blazers,57,21.34,5.75,3.8,2.55,1.41,0.81,1.9,38.7
,GSWGolden State Warriors,58,21.86,5.35,4.65,2.92,1.07,0.53,2.42,37.64
,DENDenver Nuggets,59,17.58,6.34,4.41,2.65,1.37,0.9,1.75,36.86
