,PGS,,,,,,,,,
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,DK PTS
,UTHUtah Jazz,57,24.69,6.37,11.63,3.36,2.21,0.68,2.68,57.72
,TORToronto Raptors,56,21.68,6.63,11.54,2.89,2.23,0.78,2.67,54.91
,CHACharlotte Hornets,55,24.97,5.54,11.32,3.47,1.15,0.79,3.35,54.32
,NORNew Orleans Pelicans,56,26.63,5.12,10.43,3.9,1.21,0.57,3.07,54.15
,PHIPhiladelphia 76ers,55,26.74,6.73,10.16,3.11,1.06,0.74,3.8,55.15
,BOSBoston Celtics,56,19.64,7.08,9.88,1.98,1.24,0.24,2.92,45.8
,SACSacramento Kings,55,23.34,6.45,9.65,2.42,2.07,0.35,3.43,50.21
,PORPortland Trail Blazers,54,23.24,4.96,9.61,2.73,2.22,0.95,2.29,50.42
,SASSan Antonio Spurs,56,25.48,7.09,9.52,2.54,2.3,0.7,3.78,54
,LALLos Angeles Lakers,57,24.23,5.95,9.42,3.89,1.84,0.26,2.73,50.58
,DENDenver Nuggets,56,25.68,5.73,9.22,2.81,1.51,0.36,2.44,50.6
,BKNBrooklyn Nets,55,23.9,6.59,9.18,2.86,1.39,0.46,2.86,49.61
,WASWashington Wizards,55,23.41,6.26,9.15,2.15,1.41,0.43,1.84,48.8
,MILMilwaukee Bucks,56,25.17,5.49,8.9,2.71,1.39,0.3,3.87,48.18
,CHIChicago Bulls,56,22.45,5.22,8.86,3.13,1.41,0.36,2.89,45.93
,LACLos Angeles Clippers,54,28.23,5.54,8.68,4.03,1.17,0.56,3.36,51.97
,ORLOrlando Magic,56,27.73,4.28,8.34,3.38,2.98,0.5,2.87,52.81
,PHOPhoenix Suns,56,23.52,5.3,8.3,3.17,2.01,0.51,3.63,47.41
,MIAMiami Heat,55,22.13,6.09,8.28,2.88,1.12,0.53,2.94,45.43
,OKCOklahoma City Thunder,55,20.94,6.05,8.17,3.12,1.39,0.73,3.12,45
,GSWGolden State Warriors,54,25.57,5.72,8.16,3.61,1.87,0.65,2.58,50.52
,DETDetroit Pistons,55,26.52,6.26,8.09,2.49,2.61,0.36,3.71,51.81
,MINMinnesota Timberwolves,55,22.89,4.48,7.83,2.47,1.94,0.46,2.74,44.9
,DALDallas Mavericks,56,24.65,6.87,7.7,2.37,1.73,0.44,2.37,49.13
,HOUHouston Rockets,55,22.92,6.23,7.33,2.73,1.31,1.09,2.57,46.58
,ATLAtlanta Hawks,55,27.83,7.1,7.21,3.44,1.29,0.37,2.42,51.35
,CLECleveland Cavaliers,54,24.01,5.37,6.75,3.27,2.3,0.46,3.02,46.49
,NYKNew York Knicks,56,17.71,5.35,6.53,1.64,1.17,0.82,2.29,37.85
,INDIndiana Pacers,57,26.71,6.63,6.42,2.58,1.47,0.94,2.68,49.4
,MEMMemphis Grizzlies,56,23.08,7.54,6,3,1.79,0.24,3.43,45.35
,,,,,,,,,,
,SGS,,,,,,,,,
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,DK PTS
,PHIPhiladelphia 76ers,55,23.64,4.8,5.63,3.46,1.06,0.6,2.12,42.08
,CLECleveland Cavaliers,54,18.54,5.25,4.46,3.45,1.06,0.31,2.39,35.06
,LALLos Angeles Lakers,57,27.3,5.31,6.47,3.65,1.32,0.78,2.73,48.3
,NORNew Orleans Pelicans,56,22.92,5.4,4.85,4.04,1.81,0.4,2.54,42.12
,DETDetroit Pistons,55,21.13,5.41,3.65,2.72,1.98,1.47,1.8,40.73
,ORLOrlando Magic,56,23.68,5.61,4.3,3.59,1.11,0.35,2.52,40.6
,MINMinnesota Timberwolves,55,16.95,5.63,5.16,2.2,1.33,0.69,3.48,35.13
,PORPortland Trail Blazers,54,22.46,5.63,3.9,3.02,1.3,0.78,2.03,40
,OKCOklahoma City Thunder,55,25.25,5.68,5.47,4.08,1.49,0.87,2.99,45.82
,NYKNew York Knicks,56,22.3,5.7,5.85,3.45,1.05,0.7,2.35,42.25
,CHIChicago Bulls,56,23.03,5.86,7.09,3.5,1.18,0.21,2.05,44.5
,BOSBoston Celtics,56,21.55,5.87,4.62,3.01,1.15,0.25,1.65,39.3
,DALDallas Mavericks,56,22.43,5.98,5.9,3.55,1.51,0.43,1.99,43.42
,GSWGolden State Warriors,54,21.73,5.99,4.49,2.99,1.19,0.44,2.33,39.54
,SASSan Antonio Spurs,56,25.98,6.19,6.29,3.64,1.82,0.77,2.23,49.04
