,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,ORLOrlando Magic,58,29.08,4.75,8.79,3.4,2.99,0.29,2.87,54.94
,UTHUtah Jazz,58,22.97,6.35,11.85,3.54,2.27,0.68,2.59,54.63
,DETDetroit Pistons,56,27.56,6.16,8.43,2.55,2.79,0.52,4.01,53.52
,PHIPhiladelphia 76ers,57,27.74,6.47,10.72,3.42,1.33,0.69,4.12,53.52
,LACLos Angeles Clippers,56,29.42,5.72,8.76,3.98,1.4,0.5,3.48,51.64
,WASWashington Wizards,57,25.28,6.19,9.67,1.95,1.58,0.56,2.02,51.61
,SASSan Antonio Spurs,58,24.44,7,9.03,2.42,2.25,0.73,3.78,51.55
,TORToronto Raptors,57,20.77,6.52,11.54,2.91,2.05,0.7,3.02,51.13
,PORPortland Trail Blazers,56,23.34,5.11,9.27,2.83,2.33,1,2.27,51.1
,DENDenver Nuggets,58,26.66,5.74,9.53,2.89,1.47,0.36,2.52,50.81
,DALDallas Mavericks,57,24.86,6.56,8.7,2.01,1.95,0.44,2.65,50.3
,LALLos Angeles Lakers,59,24.78,5.7,9.54,4,1.97,0.21,2.57,49.9
,CHACharlotte Hornets,57,25.47,5.64,10.33,3.32,1.06,0.71,3.85,49.19
,ATLAtlanta Hawks,57,27.6,7.18,6.82,3.67,1.2,0.52,2.51,49.1
,SACSacramento Kings,56,23.1,6.7,9.39,2.45,2.04,0.35,3.38,49.02
,BKNBrooklyn Nets,56,23.62,6.73,8.86,3.1,1.61,0.51,2.39,48.96
,HOUHouston Rockets,57,25.56,5.82,7.4,2.8,1.48,1.16,2.69,48.87
,INDIndiana Pacers,58,26.84,6.51,6.41,2.88,1.52,0.84,2.78,48.57
,GSWGolden State Warriors,56,24.98,5.51,7.87,3.53,1.74,0.7,2.78,47.94
,PHOPhoenix Suns,58,25.15,5.12,8.42,3.81,2.04,0.45,3.58,47.81
,MILMilwaukee Bucks,58,25.09,5.6,8.12,3.23,1.65,0.21,3.66,45.91
,CLECleveland Cavaliers,56,23.21,5.39,7.02,3.2,2.29,0.47,2.86,45.63
,NORNew Orleans Pelicans,58,21.51,5.2,9.95,3.66,1.47,0.51,3.01,45.61
,MINMinnesota Timberwolves,57,21.32,5.64,8.03,2.2,2.07,0.64,2.85,45.41
,MIAMiami Heat,56,21.64,6,7.87,2.69,1.15,0.66,2.91,43.17
,MEMMemphis Grizzlies,57,22.55,7.67,5.85,2.92,1.82,0.28,3.69,43.14
,BOSBoston Celtics,57,19.3,6.72,9.12,2.28,1.29,0.3,2.77,43.04
,OKCOklahoma City Thunder,57,21.8,5.91,7.64,3.25,1.39,0.59,3.25,43.04
,CHIChicago Bulls,57,19.96,4.85,8.9,3.01,1.41,0.49,2.82,42.01
,NYKNew York Knicks,57,18.07,5.41,6.38,1.61,1.09,0.8,2.64,37.16
,
,SGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,SASSan Antonio Spurs,58,26.53,6.16,7.02,3.92,1.85,0.86,2.45,50.13
,WASWashington Wizards,57,23.68,8.48,5.61,2.65,1.48,1.21,3.13,47.21
,ATLAtlanta Hawks,57,26.37,6.62,6.03,3.61,1.18,0.63,2.6,46.19
,UTHUtah Jazz,58,24.46,6.41,5.76,3.9,1.65,0.75,1.8,46.19
,BKNBrooklyn Nets,56,27.09,7.32,4.33,4.33,1.3,0.57,2.12,45.86
,LACLos Angeles Clippers,56,23.93,7.18,5.65,3.27,1.43,0.62,1.75,45.42
,PHOPhoenix Suns,58,21.95,7.63,6.18,3.34,1.6,0.9,3.13,44.75
,CHIChicago Bulls,57,24.08,5.95,6.91,3.75,1.09,0.36,2.01,43.93
,LALLos Angeles Lakers,59,25.24,5.71,5.88,3.56,1.03,0.82,2.61,43.85
,INDIndiana Pacers,58,24.43,6.5,4.63,3.06,1.29,1.09,2.58,43.74
,TORToronto Raptors,57,24.89,6.6,4.99,3.63,1.55,0.47,2.64,43.72
,OKCOklahoma City Thunder,57,24.42,6.26,5.15,3.84,1.36,0.94,3.15,43.41
,DALDallas Mavericks,57,23.14,5.98,5.76,3.85,1.64,0.47,1.99,43.3
,MEMMemphis Grizzlies,57,19.56,6.69,5.83,3.06,2.04,0.96,2.09,43.24
,MIAMiami Heat,56,22.21,6.37,6.01,3.31,1.28,0.48,2.52,41.63
,DETDetroit Pistons,56,20.2,5.82,3.48,2.67,2.1,1.48,1.76,41.38
,PHIPhiladelphia 76ers,57,23.41,4.86,5.44,3.85,1.19,0.84,2.12,41.37
,MILMilwaukee Bucks,58,22.61,7.17,4.73,3.53,1.39,0.24,2.09,41.11
,NORNew Orleans Pelicans,58,21.69,5.49,5.25,3.48,2.11,0.39,2.79,40.86
,HOUHouston Rockets,57,21.31,6.49,4.08,3.52,2.24,0.4,2.55,40.59
,NYKNew York Knicks,57,22.03,5.4,5.7,3.57,1.04,0.79,2.13,40.42
,CHACharlotte Hornets,57,19.05,6.97,5.44,2.39,1.89,0.78,3.25,40.33
,BOSBoston Celtics,57,22.5,6.23,5.27,3.29,1.26,0.15,1.92,40.19
,SACSacramento Kings,56,21.54,6.13,4.67,3.71,1.29,0.56,2.13,39.32
,PORPortland Trail Blazers,56,21.19,5.79,3.82,2.44,1.38,0.85,1.96,38.6
,GSWGolden State Warriors,56,21.76,5.76,4.71,2.9,1.13,0.54,2.31,38.44
,ORLOrlando Magic,58,22.26,5.16,4.83,3.41,1.18,0.47,2.36,38.29
,DENDenver Nuggets,58,17.48,6.03,4.15,2.59,1.34,0.84,1.69,35.79
,MINMinnesota Timberwolves,57,18.21,5.26,4.91,2.42,1.32,0.69,3.46,34.46
,CLECleveland Cavaliers,56,18.89,5.03,4.01,3.69,1.07,0.26,2.19,32.74
,
,SFs
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,TORToronto Raptors,57,26.62,7.27,3.88,3.82,1.25,1.53,2.29,47.21
,WASWashington Wizards,57,21.47,7.06,4.94,2.44,2.63,0.84,1.97,45.79
,ATLAtlanta Hawks,57,25.76,6.99,4.5,3.6,1.17,1.24,2.49,45.64
,LALLos Angeles Lakers,59,24.67,9.01,4.6,2.36,0.95,0.83,2.36,45.36
,NYKNew York Knicks,57,22.23,6.52,5.16,3,1.92,0.96,1.64,44.79
,LACLos Angeles Clippers,56,22.27,7.64,4.53,3.05,2.07,0.7,2.02,44.52
