Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under
Brooklyn Nets,Atlanta Hawks,Dejounte Murray,22.5,Prize Picks,PTS,-140,pinnacle,OVER
Brooklyn Nets,Atlanta Hawks,Clint Capela,10.0,Prize Picks,PTS,-143,pinnacle,OVER
Brooklyn Nets,Atlanta Hawks,Dejounte Murray,6.0,Prize Picks,REB,-146,pinnacle,OVER
Brooklyn Nets,Atlanta Hawks,Clint Capela,10.5,Prize Picks,REB,-140,draftkings,UNDER
Brooklyn Nets,Atlanta Hawks,Bogdan Bogdanovic,4.0,Prize Picks,REB,-140,draftkings,OVER
Brooklyn Nets,Atlanta Hawks,De'Andre Hunter,4.0,Prize Picks,REB,-145,draftkings,UNDER
Brooklyn Nets,Atlanta Hawks,Jalen Johnson,9.0,Prize Picks,REB,-146,pinnacle,UNDER
Brooklyn Nets,Atlanta Hawks,Bruno Fernando,4.0,Prize Picks,REB,-145,draftkings,OVER
Brooklyn Nets,Atlanta Hawks,Dejounte Murray,8.0,Prize Picks,AST,-151,pinnacle,UNDER
Brooklyn Nets,Atlanta Hawks,Jalen Johnson,4.0,Prize Picks,AST,-171,pinnacle,UNDER
Charlotte Hornets,Milwaukee Bucks,Giannis Antetokounmpo,28.0,Prize Picks,PTS,-160,draftkings,OVER
Charlotte Hornets,Milwaukee Bucks,Giannis Antetokounmpo,11.0,Prize Picks,REB,-144,pinnacle,UNDER
Charlotte Hornets,Milwaukee Bucks,Bobby Portis,7.5,Prize Picks,REB,-141,pinnacle,UNDER
Charlotte Hornets,Milwaukee Bucks,Pat Connaughton,4.0,Prize Picks,REB,-140,draftkings,OVER
Charlotte Hornets,Milwaukee Bucks,Giannis Antetokounmpo,6.0,Prize Picks,AST,-151,pinnacle,UNDER
Charlotte Hornets,Milwaukee Bucks,Damian Lillard,7.0,Prize Picks,AST,-164,pinnacle,OVER
Denver Nuggets,Miami Heat,Jimmy Butler,5.0,Prize Picks,AST,-195,draftkings,OVER
Denver Nuggets,Miami Heat,Terry Rozier,5.0,Prize Picks,AST,-143,pinnacle,OVER
Los Angeles Lakers,Washington Wizards,Deni Avdija,15.0,Prize Picks,PTS,-141,pinnacle,OVER
New York Knicks,Golden State Warriors,Draymond Green,8.0,Prize Picks,PTS,-145,draftkings,OVER
New York Knicks,Golden State Warriors,Draymond Green,7.0,Prize Picks,REB,-156,pinnacle,OVER
New York Knicks,Golden State Warriors,Jonathan Kuminga,5.0,Prize Picks,REB,-157,pinnacle,UNDER
New York Knicks,Golden State Warriors,Brandin Podziemski,6.0,Prize Picks,REB,-159,pinnacle,OVER
New York Knicks,Golden State Warriors,Stephen Curry,5.0,Prize Picks,AST,-145,draftkings,OVER
Orlando Magic,Utah Jazz,Lauri Markkanen,8.0,Prize Picks,REB,-150,draftkings,UNDER
Orlando Magic,Utah Jazz,Collin Sexton,5.0,Prize Picks,AST,-154,pinnacle,UNDER
Orlando Magic,Utah Jazz,Keyonte George,5.0,Prize Picks,AST,-169,pinnacle,UNDER
Phoenix Suns,Houston Rockets,Jalen Green,4.0,Prize Picks,REB,-160,draftkings,UNDER
Phoenix Suns,Houston Rockets,Alperen Sengun,10.0,Prize Picks,REB,-160,pinnacle,UNDER
San Antonio Spurs,Oklahoma City Thunder,Josh Giddey,6.0,Prize Picks,REB,-141,pinnacle,OVER
San Antonio Spurs,Oklahoma City Thunder,Jaylin Williams,4.0,Prize Picks,REB,-145,draftkings,OVER
San Antonio Spurs,Oklahoma City Thunder,Jalen Williams,5.0,Prize Picks,AST,-166,draftkings,OVER
