Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Charlotte Hornets,Brooklyn Nets,Mikal Bridges,5.0,Prize Picks,REB,-175,draftkings,UNDER,30%
Charlotte Hornets,Brooklyn Nets,Dennis Schroder,7.0,Prize Picks,AST,-160,draftkings,OVER,50%
Denver Nuggets,Utah Jazz,John Collins,16.0,Prize Picks,PTS,-142,pinnacle,UNDER,60%
Denver Nuggets,Utah Jazz,Collin Sexton,5.0,Prize Picks,AST,-160,draftkings,UNDER,40%
Denver Nuggets,Utah Jazz,Keyonte George,5.0,Prize Picks,AST,-140,draftkings,OVER,60%
Detroit Pistons,Dallas Mavericks,Daniel Gafford,7.5,Prize Picks,REB,-140,draftkings,UNDER,30%
Detroit Pistons,Dallas Mavericks,Kyrie Irving,5.0,Prize Picks,REB,-176,pinnacle,UNDER,50%
Detroit Pistons,Dallas Mavericks,Luka Doncic,9.5,Prize Picks,REB,-143,pinnacle,UNDER,60%
Golden State Warriors,San Antonio Spurs,Tre Jones,9.0,Prize Picks,PTS,-155,pinnacle,OVER,40%
Golden State Warriors,San Antonio Spurs,Zach Collins,15.0,Prize Picks,PTS,-158,pinnacle,UNDER,20%
Golden State Warriors,San Antonio Spurs,Keldon Johnson,5.0,Prize Picks,REB,-148,pinnacle,UNDER,30%
Golden State Warriors,San Antonio Spurs,Devin Vassell,5.0,Prize Picks,AST,-180,pinnacle,UNDER,60%
Golden State Warriors,San Antonio Spurs,Tre Jones,6.0,Prize Picks,AST,-166,draftkings,UNDER,50%
LA Clippers,Chicago Bulls,Alex Caruso,8.0,Prize Picks,PTS,-250,draftkings,UNDER,70%
LA Clippers,Chicago Bulls,Ayo Dosunmu,13.5,Prize Picks,PTS,-1200,draftkings,UNDER,70%
LA Clippers,Chicago Bulls,Andre Drummond,6.5,Prize Picks,PTS,-140,draftkings,UNDER,80%
LA Clippers,Chicago Bulls,Nikola Vucevic,11.0,Prize Picks,REB,-475,draftkings,UNDER,50%
LA Clippers,Chicago Bulls,Coby White,5.0,Prize Picks,REB,-3000,draftkings,UNDER,40%
LA Clippers,Chicago Bulls,Alex Caruso,3.5,Prize Picks,REB,-170,draftkings,UNDER,30%
LA Clippers,Chicago Bulls,Ayo Dosunmu,3.5,Prize Picks,REB,-215,draftkings,UNDER,40%
LA Clippers,Chicago Bulls,Andre Drummond,7.0,Prize Picks,REB,-1800,draftkings,UNDER,60%
LA Clippers,Chicago Bulls,Coby White,5.5,Prize Picks,AST,-210,draftkings,UNDER,50%
LA Clippers,Chicago Bulls,Ayo Dosunmu,4.5,Prize Picks,AST,-1600,draftkings,UNDER,70%
LA Clippers,Chicago Bulls,Nikola Vucevic,0.5,Prize Picks,STL,-10000,draftkings,UNDER,30%
LA Clippers,Chicago Bulls,Andre Drummond,0.5,Prize Picks,TOV,-145,draftkings,UNDER,60%
Phoenix Suns,Boston Celtics,Jaylen Brown,6.0,Prize Picks,REB,-153,pinnacle,OVER,50%
Portland Trail Blazers,Toronto Raptors,Immanuel Quickley,8.0,Prize Picks,AST,-145,draftkings,OVER,40%
Portland Trail Blazers,Toronto Raptors,Kelly Olynyk,5.0,Prize Picks,AST,-155,pinnacle,OVER,30%
