Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Atlanta Hawks,28,PTS,G,Gary Harris,Orlando Magic,7.5,-106,20.0%
Atlanta Hawks,28,PTS,G,Jalen Suggs,Orlando Magic,10.5,-113,46.666666666666664%
Atlanta Hawks,28,REB,G,Jalen Suggs,Orlando Magic,3.5,128,33.33333333333333%
Atlanta Hawks,27,AST,G,Jalen Suggs,Orlando Magic,2.5,-102,46.666666666666664%
Los Angeles Lakers,27,PTS,F,Kevin Durant,Phoenix Suns,29.5,-105,26.666666666666668%
Los Angeles Lakers,27,REB,F,Kevin Durant,Phoenix Suns,7.5,114,53.333333333333336%
Los Angeles Lakers,28,AST,F,Kevin Durant,Phoenix Suns,5.5,100,66.66666666666666%
Oklahoma City Thunder,29,PTS,G,Jalen Green,Houston Rockets,15.5,-113,60.0%
Oklahoma City Thunder,29,REB,G,Jalen Green,Houston Rockets,4.5,122,33.33333333333333%
Philadelphia 76ers,27,PTS,G,Malik Beasley,Milwaukee Bucks,11.5,-106,40.0%
Philadelphia 76ers,27,PTS,G,Damian Lillard,Milwaukee Bucks,24.5,-104,33.33333333333333%
Philadelphia 76ers,26,REB,G,Damian Lillard,Milwaukee Bucks,3.5,-114,46.666666666666664%
Philadelphia 76ers,28,AST,G,Damian Lillard,Milwaukee Bucks,6.5,104,46.666666666666664%
Philadelphia 76ers,26,AST,F,Giannis Antetokounmpo,Milwaukee Bucks,6.5,-108,53.333333333333336%
Sacramento Kings,28,PTS,F,Paul George,LA Clippers,22.5,-108,13.333333333333334%
Sacramento Kings,28,PTS,F,Kawhi Leonard,LA Clippers,25.5,-106,33.33333333333333%
Sacramento Kings,29,AST,F,Paul George,LA Clippers,3.5,-120,40.0%
Sacramento Kings,29,AST,F,Kawhi Leonard,LA Clippers,3.5,-130,53.333333333333336%
