Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Charlotte Hornets,2,PTS,G,Malik Beasley,Milwaukee Bucks,11.5,-110,40%
Charlotte Hornets,2,PTS,G,Damian Lillard,Milwaukee Bucks,23.5,-125,54%
Charlotte Hornets,2,REB,G,Malik Beasley,Milwaukee Bucks,3.5,-150,47%
Charlotte Hornets,2,REB,G,Damian Lillard,Milwaukee Bucks,4.5,-150,54%
Charlotte Hornets,2,AST,G,Damian Lillard,Milwaukee Bucks,6.5,-105,67%
Milwaukee Bucks,3,PTS,C,Nick Richards,Charlotte Hornets,9.5,100,60%
Milwaukee Bucks,3,REB,C,Nick Richards,Charlotte Hornets,8.5,-135,60%
Milwaukee Bucks,5,AST,G,Tre Mann,Charlotte Hornets,3.5,120,80%
New York Knicks,3,PTS,F,Draymond Green,Golden State Warriors,7.5,-105,67%
New York Knicks,3,PTS,F,Jonathan Kuminga,Golden State Warriors,16.5,-115,60%
New York Knicks,2,REB,F,Draymond Green,Golden State Warriors,6.5,-105,67%
New York Knicks,2,REB,F,Jonathan Kuminga,Golden State Warriors,5.5,-145,60%
New York Knicks,1,AST,F,Draymond Green,Golden State Warriors,5.5,-110,54%
New York Knicks,1,AST,F,Jonathan Kuminga,Golden State Warriors,2.5,-125,74%
Orlando Magic,5,REB,G,Keyonte George,Utah Jazz,2.5,135,47%
Orlando Magic,5,REB,G,Collin Sexton,Utah Jazz,2.5,-125,47%
