Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Charlotte Hornets,1,FG3M,G,Malik Beasley,Milwaukee Bucks,2.5,130,60%
Charlotte Hornets,1,FG3M,G,Damian Lillard,Milwaukee Bucks,2.5,120,54%
New York Knicks,2,STL,F,Draymond Green,Golden State Warriors,0.5,120,54%
New York Knicks,2,STL,F,Jonathan Kuminga,Golden State Warriors,0.5,-105,47%
New York Knicks,5,BLK,F,Draymond Green,Golden State Warriors,0.5,145,67%
New York Knicks,5,BLK,F,Jonathan Kuminga,Golden State Warriors,0.5,-145,40%
New York Knicks,4,FG3M,F,Draymond Green,Golden State Warriors,0.5,-105,74%
New York Knicks,4,FG3M,F,Jonathan Kuminga,Golden State Warriors,0.5,-145,40%
Oklahoma City Thunder,1,TOV,G,Tre Jones,San Antonio Spurs,1.5,-130,47%
Oklahoma City Thunder,5,STL,F,Julian Champagnie,San Antonio Spurs,0.5,-130,47%
Oklahoma City Thunder,5,STL,F,Jeremy Sochan,San Antonio Spurs,0.5,105,67%
Orlando Magic,5,FG3M,G,Collin Sexton,Utah Jazz,1.5,-130,74%
