Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
New York Knicks,3,PTS,C,Deandre Ayton,Portland Trail Blazers,19.5,-120,80%
Philadelphia 76ers,4,REB,C,Brook Lopez,Milwaukee Bucks,4.5,114,47%
Philadelphia 76ers,4,REB,C,Brook Lopez,Milwaukee Bucks,4.5,120,47%
New York Knicks,4,PTS,G,Anfernee Simons,Portland Trail Blazers,22.5,-115,60%
Portland Trail Blazers,1,REB,G,Jalen Brunson,New York Knicks,3.5,-140,47%
Portland Trail Blazers,1,REB,G,Jalen Brunson,New York Knicks,3.5,-132,47%
Portland Trail Blazers,1,REB,G,Josh Hart,New York Knicks,9.5,-113,67%
Portland Trail Blazers,1,REB,G,Josh Hart,New York Knicks,9.5,-110,67%
Houston Rockets,4,AST,G,Jalen Green,Washington Wizards,3.5,-105,47%
Houston Rockets,4,AST,G,Jalen Green,Washington Wizards,3.5,118,47%
Houston Rockets,4,AST,G,Tyus Jones,Washington Wizards,9.5,-142,47%
Houston Rockets,4,AST,G,Tyus Jones,Washington Wizards,8.5,-125,74%
Houston Rockets,4,AST,G,Tyus Jones,Washington Wizards,8.5,100,74%
Boston Celtics,1,PTS,F,Kevin Durant,Phoenix Suns,26.5,-110,60%
Boston Celtics,1,PTS,F,Kevin Durant,Phoenix Suns,27.5,-110,60%
Boston Celtics,1,PTS,F,Kevin Durant,Phoenix Suns,27.5,-104,60%
Milwaukee Bucks,2,PTS,F,Tobias Harris,Philadelphia 76ers,16.5,-105,47%
Milwaukee Bucks,2,PTS,F,Tobias Harris,Philadelphia 76ers,16.5,-104,47%
Boston Celtics,4,REB,F,Kevin Durant,Phoenix Suns,7.5,-145,60%
Boston Celtics,4,REB,F,Kevin Durant,Phoenix Suns,7.5,-138,60%
Boston Celtics,4,REB,F,Kevin Durant,Phoenix Suns,6.5,106,67%
Milwaukee Bucks,3,REB,F,Tobias Harris,Philadelphia 76ers,7.5,-146,54%
Milwaukee Bucks,3,REB,F,Tobias Harris,Philadelphia 76ers,7.5,-145,54%
Boston Celtics,1,AST,F,Kevin Durant,Phoenix Suns,4.5,-120,60%
Boston Celtics,1,AST,F,Kevin Durant,Phoenix Suns,4.5,-120,60%
